,Random State,Model,MSE,RMSE
0,352,ExtraTree,718.7137865409,26.8088378439
0,404,ExtraTree,465.8315325779,21.5831307409
0,403,ExtraTree,713.8828595847,26.7185864069
0,1000,ExtraTree,590.5725230647,24.3016979461
0,319,ExtraTree,763.7142316699,27.635380071
0,319,ExtraTree,705.2489054531,26.5565228419
0,810,ExtraTree,393.30902592573545,19.832020217964065
0,109,ExtraTree,693.989784273733,26.343685852092396
0,109,ExtraTree,629.6922926361681,25.093670369959195
0,2017,ExtraTree,1237.4105881696744,35.17684733130123
0,1203,ExtraTree,766.3962557937239,27.683862732532898
0,99,ExtraTree,1450.5770974025158,38.08644243562945
0,1,ExtraTree,552.5848840848065,23.507124113442856
0,1,ExtraTree,524.9286015464575,22.9113203798135
0,0,ExtraTree,625.2538024282527,25.00507553334428
0,1,ExtraTree,642.1511570974602,25.340701590474172
